,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
11,75800387,4780521,20160503,159300,160300,159400,159500,159600,159700,159800,159900,160000,160200,123000,2300,102500,48800,65400,53900,71500,86700,159800,34300,159200,158200,159000,158900,158800,158700,158600,158500,158400,158300,800,11700,46500,12500,34900,20100,4000,43300,2900,27300,159500,173900,0,157800,142300,159300,2144,157800,158100,0,0,913,0,94830730,4808179,3201510,167000,154500,0,776,000776.SZ,0D09:48:34.979113000
26,75817899,4781621,20160503,159200,160200,159300,159400,159500,159600,159700,159800,159900,160000,1100,34300,123000,102900,49600,65400,53900,71500,86700,159800,159000,158100,158900,158800,158700,158600,158500,158400,158300,158200,46500,43800,12500,34900,19800,4000,43300,2900,27300,11700,159500,173900,0,157800,142300,159200,2147,157800,158100,0,0,913,0,94833350,4814779,3200410,167000,154500,0,776,000776.SZ,0D09:48:37.943029000
41,75956403,4790321,20160503,159200,160200,159300,159400,159500,159600,159700,159800,159900,160000,17900,34300,123300,101800,49100,65400,53900,71500,86700,159800,159100,158200,159000,158900,158800,158700,158600,158500,158400,158300,600,11700,47500,12500,34900,19800,4000,43300,2900,27300,159500,173900,0,157800,142300,159200,2152,157800,158100,0,0,913,0,94837150,4831479,3202010,167000,154500,0,776,000776.SZ,0D09:48:40.927307000
56,75956403,4790321,20160503,159200,160200,159300,159400,159500,159600,159700,159800,159900,160000,21800,34300,126400,101800,49100,65400,53900,71500,86700,161800,159100,158200,159000,158900,158800,158700,158600,158500,158400,158300,600,11700,47500,12500,39900,19800,4000,43300,2900,27300,159500,173900,0,157800,142300,159200,2152,157800,158100,0,0,913,0,94840480,4845579,3208010,167000,154500,0,776,000776.SZ,0D09:48:43.905250000
70,76083758,4798321,20160503,159200,160200,159300,159400,159500,159600,159700,159800,159900,160000,17900,34300,127600,100800,48900,65400,53900,71500,86700,161800,159100,158200,159000,158900,158800,158700,158600,158500,158400,158300,100,11700,47600,12500,39900,19800,4000,43300,2900,27300,159500,173900,0,157800,142300,159200,2154,157800,158100,0,0,913,0,94843300,4845679,3206710,167000,154500,0,776,000776.SZ,0D09:48:46.944516000
85,76164949,4803421,20160503,159100,160000,159200,159300,159400,159500,159600,159700,159800,159900,100,162000,15900,121400,100300,48900,65400,53900,71500,84400,159000,158100,158900,158800,158700,158600,158500,158400,158300,158200,47600,43800,12500,44900,19800,4000,52000,2900,27300,11700,159500,173900,0,157800,142300,159100,2157,157800,158100,0,0,913,0,94846220,4836479,3220310,167000,154600,0,776,000776.SZ,0D09:48:49.924195000
100,76276361,4810421,20160503,159100,160000,159200,159300,159400,159500,159600,159700,159800,159900,1000,162100,12200,121900,101200,48400,65400,53900,71500,84400,159000,158100,158900,158800,158700,158600,158500,158400,158300,158200,47500,43800,12500,44900,19800,4000,53000,2900,27300,11700,159500,173900,0,157800,142300,159200,2161,157800,158100,0,0,913,0,94848840,4834679,3221210,167000,154600,0,776,000776.SZ,0D09:48:52.892601000
115,76673861,4835421,20160503,159100,160000,159200,159300,159400,159500,159600,159700,159800,159900,2000,162100,13200,123400,101200,48400,65400,38900,71500,84400,159000,158100,158900,158800,158700,158600,158500,158400,158300,158200,23500,43800,12500,44900,19800,7000,53500,2900,27300,11700,159500,173900,0,157800,142300,159000,2175,157800,158100,0,0,913,0,94852310,4822479,3207310,167000,154500,0,776,000776.SZ,0D09:48:56.002725000
130,76707266,4837521,20160503,159100,160000,159200,159300,159400,159500,159600,159700,159800,159900,800,162100,17700,123400,101200,48400,65400,38900,71500,84400,159000,158100,158900,158800,158700,158600,158500,158400,158300,158200,23900,43800,12500,44900,19800,6800,53500,2900,27300,11700,159500,173900,0,157800,142300,159100,2180,157800,158100,0,0,913,0,94854620,4835779,3208710,167000,154500,0,776,000776.SZ,0D09:49:00.380955000
145,76745431,4839921,20160503,159100,160000,159200,159300,159400,159500,159600,159700,159800,159900,300,162100,18000,123600,71700,49000,65400,38900,72000,84400,159000,158100,158900,158800,158700,158600,158500,158400,158300,158200,26600,48800,12600,44900,23400,6800,53500,2900,27300,11700,159500,173900,0,157800,142300,159100,2183,157800,158100,0,0,913,0,94858250,4818379,3220110,167000,154500,0,776,000776.SZ,0D09:49:01.989459000
