Close,Date Time,High,Low,Open,Volume
20.39,2016-02-29 09:36:22,20.39,20.39,20.39,0
20.38,2016-02-29 09:36:25,20.38,20.38,20.38,4900
20.36,2016-02-29 09:36:28,20.36,20.36,20.36,2900
20.36,2016-02-29 09:36:31,20.36,20.36,20.36,3700
20.31,2016-02-29 09:36:34,20.31,20.31,20.31,51100
20.35,2016-02-29 09:36:37,20.35,20.35,20.35,6800
20.35,2016-02-29 09:36:40,20.35,20.35,20.35,0
20.31,2016-02-29 09:36:43,20.31,20.31,20.31,18900
20.35,2016-02-29 09:36:46,20.35,20.35,20.35,3700
20.31,2016-02-29 09:36:49,20.31,20.31,20.31,3100
20.3,2016-02-29 09:36:52,20.3,20.3,20.3,48500
20.3,2016-02-29 09:36:55,20.3,20.3,20.3,3200
20.31,2016-02-29 09:36:58,20.31,20.31,20.31,14800
20.3,2016-02-29 09:37:00,20.3,20.3,20.3,13700
20.29,2016-02-29 09:37:04,20.29,20.29,20.29,2300
20.3,2016-02-29 09:37:07,20.3,20.3,20.3,1700
20.29,2016-02-29 09:37:09,20.29,20.29,20.29,1000
20.29,2016-02-29 09:37:13,20.29,20.29,20.29,3800
20.28,2016-02-29 09:37:16,20.28,20.28,20.28,2600
20.27,2016-02-29 09:37:19,20.27,20.27,20.27,1300
20.29,2016-02-29 09:37:22,20.29,20.29,20.29,28700
20.28,2016-02-29 09:37:25,20.28,20.28,20.28,13000
20.22,2016-02-29 09:37:27,20.22,20.22,20.22,1400
20.22,2016-02-29 09:37:31,20.22,20.22,20.22,1000
20.21,2016-02-29 09:37:34,20.21,20.21,20.21,5700
20.22,2016-02-29 09:37:37,20.22,20.22,20.22,1100
20.21,2016-02-29 09:37:40,20.21,20.21,20.21,2800
20.2,2016-02-29 09:37:43,20.2,20.2,20.2,25120
20.2,2016-02-29 09:37:46,20.2,20.2,20.2,15400
20.18,2016-02-29 09:37:49,20.18,20.18,20.18,600
20.16,2016-02-29 09:37:52,20.16,20.16,20.16,3200
20.18,2016-02-29 09:37:55,20.18,20.18,20.18,3300
20.16,2016-02-29 09:37:58,20.16,20.16,20.16,6100
20.11,2016-02-29 09:38:00,20.11,20.11,20.11,9600
20.06,2016-02-29 09:38:04,20.06,20.06,20.06,6000
20.1,2016-02-29 09:38:07,20.1,20.1,20.1,400
20.13,2016-02-29 09:38:10,20.13,20.13,20.13,1600
20.11,2016-02-29 09:38:13,20.11,20.11,20.11,2500
20.13,2016-02-29 09:38:16,20.13,20.13,20.13,2300
20.0,2016-02-29 09:38:19,20.0,20.0,20.0,14400
20.0,2016-02-29 09:38:22,20.0,20.0,20.0,1100
20.0,2016-02-29 09:38:25,20.0,20.0,20.0,4100
19.95,2016-02-29 09:38:28,19.95,19.95,19.95,5000
19.98,2016-02-29 09:38:31,19.98,19.98,19.98,6900
19.95,2016-02-29 09:38:34,19.95,19.95,19.95,3800
19.95,2016-02-29 09:38:37,19.95,19.95,19.95,300
19.91,2016-02-29 09:38:40,19.91,19.91,19.91,11000
19.86,2016-02-29 09:38:43,19.86,19.86,19.86,7100
19.88,2016-02-29 09:38:46,19.88,19.88,19.88,6500
19.88,2016-02-29 09:38:49,19.88,19.88,19.88,3500
19.88,2016-02-29 09:38:52,19.88,19.88,19.88,5900
19.85,2016-02-29 09:38:55,19.85,19.85,19.85,6500
19.86,2016-02-29 09:38:58,19.86,19.86,19.86,20300
