Close,Date Time,High,Low,Open,Volume
18.65,2016-04-27 09:34:32,18.65,18.65,18.65,0
18.67,2016-04-27 09:34:35,18.67,18.67,18.67,200
18.65,2016-04-27 09:34:38,18.65,18.65,18.65,600
18.67,2016-04-27 09:34:41,18.67,18.67,18.67,500
18.67,2016-04-27 09:34:44,18.67,18.67,18.67,300
18.67,2016-04-27 09:34:47,18.67,18.67,18.67,7900
18.67,2016-04-27 09:34:50,18.67,18.67,18.67,0
18.65,2016-04-27 09:34:53,18.65,18.65,18.65,600
18.65,2016-04-27 09:34:56,18.65,18.65,18.65,1600
18.67,2016-04-27 09:34:59,18.67,18.67,18.67,1200
18.65,2016-04-27 09:35:02,18.65,18.65,18.65,1700
18.67,2016-04-27 09:35:05,18.67,18.67,18.67,200
18.67,2016-04-27 09:35:08,18.67,18.67,18.67,0
18.67,2016-04-27 09:35:11,18.67,18.67,18.67,0
18.65,2016-04-27 09:35:14,18.65,18.65,18.65,400
18.65,2016-04-27 09:35:17,18.65,18.65,18.65,0
18.65,2016-04-27 09:35:20,18.65,18.65,18.65,0
18.65,2016-04-27 09:35:23,18.65,18.65,18.65,0
18.65,2016-04-27 09:35:26,18.65,18.65,18.65,0
18.65,2016-04-27 09:35:29,18.65,18.65,18.65,0
18.65,2016-04-27 09:35:32,18.65,18.65,18.65,1000
18.64,2016-04-27 09:35:35,18.64,18.64,18.64,600
18.64,2016-04-27 09:35:38,18.64,18.64,18.64,200
18.64,2016-04-27 09:35:41,18.64,18.64,18.64,0
18.63,2016-04-27 09:35:44,18.63,18.63,18.63,2300
18.65,2016-04-27 09:35:47,18.65,18.65,18.65,2300
18.65,2016-04-27 09:35:50,18.65,18.65,18.65,0
18.64,2016-04-27 09:35:53,18.64,18.64,18.64,2200
18.65,2016-04-27 09:35:56,18.65,18.65,18.65,1700
18.65,2016-04-27 09:35:59,18.65,18.65,18.65,200
18.65,2016-04-27 09:36:02,18.65,18.65,18.65,1000
18.65,2016-04-27 09:36:05,18.65,18.65,18.65,1000
18.65,2016-04-27 09:36:08,18.65,18.65,18.65,700
18.65,2016-04-27 09:36:11,18.65,18.65,18.65,600
18.65,2016-04-27 09:36:14,18.65,18.65,18.65,100
18.65,2016-04-27 09:36:17,18.65,18.65,18.65,0
18.65,2016-04-27 09:36:20,18.65,18.65,18.65,1000
18.66,2016-04-27 09:36:23,18.66,18.66,18.66,200
18.66,2016-04-27 09:36:26,18.66,18.66,18.66,0
18.65,2016-04-27 09:36:29,18.65,18.65,18.65,1200
18.66,2016-04-27 09:36:32,18.66,18.66,18.66,20800
18.66,2016-04-27 09:36:35,18.66,18.66,18.66,100
18.66,2016-04-27 09:36:38,18.66,18.66,18.66,0
18.66,2016-04-27 09:36:41,18.66,18.66,18.66,0
18.66,2016-04-27 09:36:44,18.66,18.66,18.66,0
18.66,2016-04-27 09:36:47,18.66,18.66,18.66,0
18.66,2016-04-27 09:36:50,18.66,18.66,18.66,1000
18.66,2016-04-27 09:36:56,18.66,18.66,18.66,700
18.66,2016-04-27 09:36:59,18.66,18.66,18.66,2800
18.66,2016-04-27 09:37:02,18.66,18.66,18.66,2600
18.66,2016-04-27 09:37:04,18.66,18.66,18.66,3100
18.65,2016-04-27 09:37:08,18.65,18.65,18.65,2000
18.64,2016-04-27 09:37:11,18.64,18.64,18.64,2300
18.64,2016-04-27 09:37:14,18.64,18.64,18.64,0
18.64,2016-04-27 09:37:17,18.64,18.64,18.64,0
18.64,2016-04-27 09:37:20,18.64,18.64,18.64,100
18.64,2016-04-27 09:37:23,18.64,18.64,18.64,0
18.65,2016-04-27 09:37:26,18.65,18.65,18.65,900
18.65,2016-04-27 09:37:29,18.65,18.65,18.65,0
18.65,2016-04-27 09:37:32,18.65,18.65,18.65,700
18.64,2016-04-27 09:37:35,18.64,18.64,18.64,5300
18.64,2016-04-27 09:37:38,18.64,18.64,18.64,0
18.65,2016-04-27 09:37:41,18.65,18.65,18.65,6500
18.65,2016-04-27 09:37:43,18.65,18.65,18.65,0
18.65,2016-04-27 09:37:47,18.65,18.65,18.65,0
18.64,2016-04-27 09:37:50,18.64,18.64,18.64,300
18.64,2016-04-27 09:37:53,18.64,18.64,18.64,10300
