,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
9,54894533,2715615,20160226,200200,201100,200300,200400,200500,200600,200700,200800,200900,201000,1600,10000,2100,1900,19700,50800,24200,1400,18700,31900,200100,198800,200000,199800,199700,199600,199500,199100,199000,198900,37200,6300,48535,1000,400,5000,300,25000,13300,1000,204500,220700,0,200000,180500,200100,2741,203300,200600,0,0,0,0,94401050,1884271,833235,212300,188300,0,'002099','002099.SZ','0D09:44:05.097183000'
19,55148710,2728315,20160226,200300,201200,200400,200500,200600,200700,200800,200900,201000,201100,400,15900,1700,20700,47200,24200,1400,18700,31900,10000,200200,198900,200100,200000,199800,199700,199600,199500,199100,199000,300,1000,27800,48435,1000,400,5000,300,25000,13300,204500,220700,0,200000,180500,200100,2757,203300,200600,0,0,0,0,94404320,1872071,827435,212400,188200,0,'002099','002099.SZ','0D09:44:08.047602000'
29,55304811,2736115,20160226,200400,201300,200500,200600,200700,200800,200900,201000,201100,201200,8700,4400,19700,47000,24200,1400,18700,30400,10000,15900,200100,198800,200000,199800,199700,199600,199500,199100,199000,198900,21300,6300,48435,1000,400,5000,300,25000,13300,1000,204500,220700,0,200000,180500,200100,2768,203300,200600,0,0,0,0,94407240,1876371,820635,212300,188100,0,'002099','002099.SZ','0D09:44:10.978781000'
39,55444916,2743115,20160226,200400,201300,200500,200600,200700,200800,200900,201000,201100,201200,7600,4400,19700,43000,20400,1400,18700,30400,10000,15900,200100,198800,200000,199800,199700,199600,199500,199100,199000,198900,15600,6300,47835,1000,400,5000,300,25000,13400,1000,204500,220700,0,200000,180500,200100,2777,203300,200600,0,0,0,0,94410260,1867471,813935,212400,188000,0,'002099','002099.SZ','0D09:44:14.012890000'
49,55861176,2763915,20160226,200100,201200,200400,200500,200600,200700,200800,200900,201000,201100,300,15900,7500,19300,41900,20400,1400,18700,30100,10000,200000,198600,199800,199700,199600,199500,199100,199000,198900,198800,49535,1300,1000,500,5000,300,25000,13400,1000,6400,204500,220700,0,200000,180500,200100,2789,203300,200600,0,0,0,0,94413510,1862871,800235,212400,187800,0,'002099','002099.SZ','0D09:44:16.972449000'
59,56907866,2816250,20160226,200000,201100,200100,200400,200500,200600,200700,200800,200900,201000,8165,10000,36300,7500,19300,41900,20400,1400,18700,30100,199700,198100,199600,199500,199100,199000,198900,198800,198600,198500,500,5000,5000,300,25000,13400,1000,6400,1300,700,204500,220700,0,199800,180500,200000,2850,203300,200600,0,0,0,0,94416320,1907036,749500,212100,186900,0,'002099','002099.SZ','0D09:44:19.977404000'
69,56925866,2817150,20160226,199800,201000,200000,200100,200400,200500,200600,200700,200800,200900,200,30100,7265,44000,7500,19300,41900,20400,1400,18700,199700,198100,199600,199500,199100,199000,198900,198800,198600,198500,500,5000,5000,300,25000,13400,1000,6400,1300,700,204500,220700,0,199800,180500,200000,2852,203300,200600,0,0,0,0,94419110,1902936,784000,212100,186800,0,'002099','002099.SZ','0D09:44:23.025524000'
79,56935862,2817650,20160226,200000,201100,200100,200400,200500,200600,200700,200800,200900,201000,6965,10000,69400,7500,18300,40400,20400,1400,18700,30100,199700,198100,199600,199500,199100,199000,198900,198800,198600,198500,500,5000,5000,300,25000,13900,1000,6400,1300,700,204500,220700,0,199800,180500,200000,2854,203300,200600,0,0,0,0,94422350,1925336,794500,212000,187000,0,'002099','002099.SZ','0D09:44:26.104156000'
89,56959854,2818850,20160226,199800,201000,200000,200100,200400,200500,200600,200700,200800,200900,300,28300,9965,72800,7500,18300,40400,20400,1400,18700,199700,198100,199600,199500,199100,199000,198900,198800,198600,198500,500,5000,5000,300,25000,13900,1000,6400,1300,700,204500,220700,0,199800,180500,200000,2857,203300,200600,0,0,0,0,94425220,1930236,794500,212000,187000,0,'002099','002099.SZ','0D09:44:29.015506000'
99,57369935,2839350,20160226,199800,201000,200000,200100,200400,200500,200600,200700,200800,200900,400,28300,400,68465,7500,18300,40400,20400,1400,18700,199700,198500,199600,199500,199200,199100,199000,198900,198800,198600,500,700,5000,300,3000,25000,13900,1000,6400,1300,204500,220700,0,199800,180500,199800,2866,203300,200600,0,0,0,0,94427210,1916936,847500,212100,187400,0,'002099','002099.SZ','0D09:44:32.038412000'
109,57405912,2841150,20160226,199700,200900,199800,200000,200100,200400,200500,200600,200700,200800,3900,12500,2000,500,65265,7500,18300,40400,20400,1400,199600,198100,199500,199200,199100,199000,198900,198800,198600,198500,5000,5000,300,3000,25000,13900,1000,6400,1300,700,204500,220700,0,199700,180500,199700,2874,203300,200600,0,0,0,0,94431100,1913486,847600,212100,187400,0,'002099','002099.SZ','0D09:44:35.076308000'
119,57800428,2860950,20160226,199600,200800,199700,199800,200000,200100,200400,200500,200600,200700,1200,1400,4300,2000,500,42265,7500,18300,40400,20300,199100,197500,199000,198900,198800,198600,198500,198100,198000,197600,13600,2000,13900,1000,6400,1300,700,5000,31600,100,204500,220700,0,199100,180500,199100,2881,203300,200600,0,0,0,0,94434240,1886186,827900,212200,187200,0,'002099','002099.SZ','0D09:44:37.979886000'
129,57854320,2863650,20160226,199600,200800,199700,199800,200000,200100,200400,200500,200600,200700,15500,1400,8900,3000,3800,42265,7500,18300,45400,20300,199100,197500,199000,198900,198800,198600,198500,198100,198000,197600,13600,2000,13900,1000,6400,300,700,5000,31600,100,204500,220700,0,199100,180500,199600,2885,203300,200600,0,0,0,0,94437440,1903086,826900,212100,187100,0,'002099','002099.SZ','0D09:44:41.328110000'
139,57888237,2865350,20160226,199600,200800,199700,199800,200000,200100,200400,200500,200600,200700,14100,1400,10500,5000,4800,42265,7500,18300,45400,20300,199100,197500,199000,198900,198800,198600,198500,198100,198000,197600,13300,2000,13900,1000,6400,300,700,5000,31600,100,204500,220700,0,199100,180500,199600,2888,203300,200600,0,0,0,0,94440080,1906286,828700,212000,187200,0,'002099','002099.SZ','0D09:44:44.041011000'
149,57992021,2870550,20160226,199600,200800,199700,199800,200000,200100,200400,200500,200600,200700,29100,1400,10100,5000,6200,37565,7500,18300,45400,20300,199200,197600,199100,199000,198900,198800,198600,198500,198100,198000,600,100,13500,13900,1000,6400,300,700,5000,31700,204500,220700,0,199100,180500,199200,2891,203300,200600,0,0,0,0,94443150,1916186,823300,212000,187200,0,'002099','002099.SZ','0D09:44:47.040081000'
159,58609068,2901550,20160226,199000,200600,199100,199600,199700,199800,200000,200100,200400,200500,14900,46400,3100,29100,10400,5000,6200,37165,7500,18300,198900,197100,198800,198600,198500,198100,198000,197600,197500,197200,1000,5000,6400,300,700,5000,31700,100,2000,400,204500,220700,0,199000,180500,199000,2902,203300,200600,0,0,0,0,94446470,1921686,795300,211900,186800,0,'002099','002099.SZ','0D09:44:50.049127000'
169,58654820,2903850,20160226,198900,200400,199000,199100,199500,199600,199700,199800,200000,200100,700,7500,14100,27500,500,29100,10500,5200,6200,36765,198800,196800,198600,198500,198100,198000,197600,197500,197200,197100,6000,1300,300,700,5000,31700,100,2000,400,5000,204500,220700,0,198800,180500,198800,2908,203300,200600,0,0,0,0,94449360,1946186,793900,211700,186800,0,'002099','002099.SZ','0D09:44:53.053133000'
